fixture_id,date,season,league,home_team,away_team,fulltime_home_goals,fulltime_away_goals,halftime_home_goals,halftime_away_goals,result,referee,data_source
1570367,2026-09-06T19:00:00+00:00,2026,La Liga,Espanyol,Sevilla,1,1,0,0,D,,https://www.qiuxiaoce.com
1552751,2026-09-06T18:45:00+00:00,2026,Ligue 1,Marseille,Paris FC,2,3,1,2,A,C. Turpin,https://www.qiuxiaoce.com
1550114,2026-09-06T18:45:00+00:00,2026,Serie A,Juventus,AC Milan,1,1,0,0,D,M. Mariani,https://www.qiuxiaoce.com
1570363,2026-09-06T16:30:00+00:00,2026,La Liga,Alaves,Osasuna,5,2,2,0,H,,https://www.qiuxiaoce.com
1570369,2026-09-06T16:30:00+00:00,2026,La Liga,Malaga,Levante,0,0,0,0,D,,https://www.qiuxiaoce.com
1550108,2026-09-06T16:00:00+00:00,2026,Serie A,Bologna,Sassuolo,2,2,0,1,D,M. Di Bello,https://www.qiuxiaoce.com
1557387,2026-09-06T15:30:00+00:00,2026,Premier League,Arsenal,Chelsea,2,1,1,1,H,C. Kavanagh,https://www.qiuxiaoce.com
1575152,2026-09-06T15:30:00+00:00,2026,Bundesliga,Eintracht Frankfurt,FC Augsburg,1,4,1,0,A,D. Schlager,https://www.qiuxiaoce.com
1552747,2026-09-06T15:15:00+00:00,2026,Ligue 1,Angers,Rennes,1,2,1,2,A,G. Kubler,https://www.qiuxiaoce.com
1570371,2026-09-06T14:15:00+00:00,2026,La Liga,Valencia,Barcelona,0,5,0,2,A,,https://www.qiuxiaoce.com
1575154,2026-09-06T13:30:00+00:00,2026,Bundesliga,Hamburger SV,FSV Mainz 05,0,5,0,2,A,T. Reichel,https://www.qiuxiaoce.com
1550111,2026-09-06T13:00:00+00:00,2026,Serie A,Frosinone,Venezia,3,2,2,0,H,M. Perri,https://www.qiuxiaoce.com
1552755,2026-09-06T13:00:00+00:00,2026,Ligue 1,Estac Troyes,Strasbourg,2,6,1,2,A,G. Paradis,https://www.qiuxiaoce.com
1557390,2026-09-06T13:00:00+00:00,2026,Premier League,Everton,Manchester United,2,2,0,0,D,J. Brooks,https://www.qiuxiaoce.com
1550115,2026-09-06T13:00:00+00:00,2026,Serie A,Parma,Monza,1,1,0,1,D,F. La Penna,https://www.qiuxiaoce.com
1570372,2026-09-05T19:00:00+00:00,2026,La Liga,Villarreal,Deportivo La Coruna,2,3,1,1,A,,https://www.qiuxiaoce.com
1550107,2026-09-05T18:45:00+00:00,2026,Serie A,AS Roma,Atalanta,2,1,0,0,H,A. Colombo,https://www.qiuxiaoce.com
1552752,2026-09-05T18:45:00+00:00,2026,Ligue 1,Nice,Le Mans,1,1,1,1,D,J. Pignard,https://www.qiuxiaoce.com
1552748,2026-09-05T18:45:00+00:00,2026,Ligue 1,Le Havre,Stade Brestois 29,1,2,0,1,A,M. Bollengier,https://www.qiuxiaoce.com
1557392,2026-09-05T16:30:00+00:00,2026,Premier League,Hull City,Aston Villa,0,0,0,0,D,M. Oliver,https://www.qiuxiaoce.com
1575156,2026-09-05T16:30:00+00:00,2026,Bundesliga,FC Schalke 04,Bayern München,0,0,0,0,D,R. Schroder,https://www.qiuxiaoce.com
1570370,2026-09-05T16:30:00+00:00,2026,La Liga,Rayo Vallecano,Racing Santander,3,2,2,2,H,,https://www.qiuxiaoce.com
1550113,2026-09-05T16:00:00+00:00,2026,Serie A,Inter,Napoli,3,2,0,0,H,S. Sozza,https://www.qiuxiaoce.com
1552749,2026-09-05T15:15:00+00:00,2026,Ligue 1,Lens,Lorient,0,1,0,0,A,E. Wattellier,https://www.qiuxiaoce.com
1570364,2026-09-05T14:15:00+00:00,2026,La Liga,Athletic Club,Atletico Madrid,3,0,0,0,H,,https://www.qiuxiaoce.com
1557394,2026-09-05T14:00:00+00:00,2026,Premier League,Manchester City,Coventry,1,0,1,0,H,P. Tierney,https://www.qiuxiaoce.com
1557389,2026-09-05T14:00:00+00:00,2026,Premier League,Brighton,Leeds,1,1,0,1,D,S. Attwell,https://www.qiuxiaoce.com
1557391,2026-09-05T14:00:00+00:00,2026,Premier League,Fulham,Crystal Palace,2,3,2,1,A,S. Barrott,https://www.qiuxiaoce.com
1557396,2026-09-05T14:00:00+00:00,2026,Premier League,Nottingham Forest,Tottenham,0,0,0,0,D,C. Pawson,https://www.qiuxiaoce.com
1557388,2026-09-05T14:00:00+00:00,2026,Premier League,Brentford,Sunderland,1,1,0,0,D,T. Bramall,https://www.qiuxiaoce.com
1575155,2026-09-05T13:30:00+00:00,2026,Bundesliga,Werder Bremen,RB Leipzig,3,1,1,0,H,B. Brand,https://www.qiuxiaoce.com
1575150,2026-09-05T13:30:00+00:00,2026,Bundesliga,1899 Hoffenheim,Borussia Dortmund,2,3,1,0,A,M. Jollenbeck,https://www.qiuxiaoce.com
1575151,2026-09-05T13:30:00+00:00,2026,Bundesliga,Bayer Leverkusen,Union Berlin,4,0,2,0,H,R. Braun,https://www.qiuxiaoce.com
1575157,2026-09-05T13:30:00+00:00,2026,Bundesliga,SC Paderborn 07,SC Freiburg,0,1,0,1,A,M. Burda,https://www.qiuxiaoce.com
1575153,2026-09-05T13:30:00+00:00,2026,Bundesliga,Borussia Mönchengladbach,SV Elversberg,3,4,2,1,A,M. Petersen,https://www.qiuxiaoce.com
1550110,2026-09-05T13:00:00+00:00,2026,Serie A,Fiorentina,Torino,1,2,0,0,A,D. Massa,https://www.qiuxiaoce.com
1557395,2026-09-05T11:30:00+00:00,2026,Premier League,Newcastle,Bournemouth,2,2,1,2,D,R. Jones,https://www.qiuxiaoce.com
1552753,2026-09-04T19:05:00+00:00,2026,Ligue 1,Paris Saint Germain,Monaco,1,2,1,0,A,J. Brisard,https://www.qiuxiaoce.com
1557393,2026-09-04T19:00:00+00:00,2026,Premier League,Ipswich,Liverpool,0,2,0,2,A,D. England,https://www.qiuxiaoce.com
1570365,2026-09-04T19:00:00+00:00,2026,La Liga,Real Betis,Real Madrid,1,0,0,0,H,,https://www.qiuxiaoce.com
1550112,2026-09-04T18:45:00+00:00,2026,Serie A,Genoa,Como,1,4,1,3,A,M. Guida,https://www.qiuxiaoce.com
1575149,2026-09-04T18:30:00+00:00,2026,Bundesliga,VfB Stuttgart,1. FC Köln,4,1,1,0,H,C. Dingert,https://www.qiuxiaoce.com
1552750,2026-09-04T17:00:00+00:00,2026,Ligue 1,Lyon,Auxerre,3,1,2,1,H,R. Buquet,https://www.qiuxiaoce.com
